label,status,variants,gnd_candidates,wikidata_candidates,resolved_gnd_id,resolved_wikidata_id,resolved_label,notes
Irenaeus von Tyros (comes),ambiguous,Irenaeus von Tyros;Irenaeus of Tyros;Irenaeus from Tyros,"10239637X|Irenaeus, Tyrius|0.857",Q3154702|Irenaeus of Tyre|0.857|comes (5th century),,,,
Isaak,ambiguous,Isaak,"139881522|Zeggin, Isaak|0.625 || 1156471826|Nathan, Isaak|0.625 || 136576168|Pader, Isaak|0.625 || 1069597589|Riehm, Isaak|0.625 || 1199568414|Birev, Isaak|0.625",Q581723|Isaak|1.000|male given name || Q37187061|Isaak|1.000|family name || Q39033826|Isaak|1.000|male given name (Исаак) || Q671872|Isaac|1.000|Biblical character || Q124569322|Isaak|1.000|German singer,,,,
Jakob,ambiguous,Jakob,"133278786|Bendl, Jakob|0.625 || 122324595|Dachser, Jakob|0.625 || 131999133|Compenius, Jakob|0.588 || 133758737|Eisele, Jakob|0.588 || 142014400|Streun, Jakob|0.588","Q16747395|Jakob|1.000|male given name || Q1678872|Jakob|1.000|family name || Q108546914|Jakob|1.000|bishop of the roman-catholic church || Q10539290|Jakob parish|1.000|parish in Sweden || Q289957|Jacob|1.000|in Genesis, a son of Isaac, also known as Israel; the patriarch of the Israelites",,,,
Jakobus,ambiguous,Jakobus,"1065615469|Jakobus, Kathrin|0.875 || 124222048|Kaffanke, Jakobus|0.667 || 132176610|Helchis, Jakobus|0.667 || 136287999|Wilhelm, Jakobus C.|0.636 || 137500300|Klonk, Erhardt Jakobus|0.636","Q21142021|Jakobus|1.000|male given name || Q83359313|Jakobus|1.000|family name || Q131097|Epistle of James|1.000|book of the New Testament attributed to James || Q41150|Way of Saint James|0.824|Catholic pilgrimage to Santiago de Compostela, Spain || Q1375551|Jacobus Houbraken|0.583|Dutch engraver (1698-1780)",,,,
Johannes (Evangelist),ambiguous,Johannes,1294201425|Johannes|0.743 || 1210059096|Johannes|0.722 || 1295925338|Johannes|0.703 || 1299778372|Johannes|0.649 || 1290802238|Johannes|0.649,"Q2504914|Johannes Müller Argoviensis|0.629|Swiss botanist (1828–1896) || Q40662|John the Baptist|0.615|1st-century Jewish itinerant preacher (Bible) || Q682739|Johannes Kepler University Linz|0.596|public university in Linz, Austria || Q2117521|Johannes|0.593|male given name || Q44015|John the Apostle|0.593|apostle of Jesus; son of Zebedee and Salome, brother of James; traditionally identified with John the Evangelist, John of Patmos, and the Beloved Disciple",,,,
Johannes Chrysostomos,ambiguous,Johannes Chrysostomos,"118821563|Blaschkewitz, Johannes Chrysostomus|1.000 || 118557831|Johannes, Chrysostomus|1.000 || 1077624743|Dahm, Chrysostomus|0.894 || 1089696310|Helbling, Johannes Chrysostomos|0.824 || 1079037667|Klos, Johannes|0.792","Q43706|John Chrysostom|1.000|Church Father, Archbishop of Constantinople and Christian saint (c. 347–407) || Q27698903|Saint John Chrysostom|1.000|painting by Pedro de Orrente || Q1697350|Johannes C. Weiss|0.875| || Q1697080|St. John Chrysostom Church|0.857|Wikimedia disambiguation page || Q29256434|Joannes Chrysostomus Teniers|0.840|Flemish Catholic abbot and poet",,,,
Johannes von Antiochia,ambiguous,Johannes from Antiochia;Johannes von Antiochia;Johannes of Antiochia,"1147232741|Johannes, von Antiochia|1.000 || 118902733|Johannes, Antiochenus, Chronista|1.000 || 100968546|Johannes, Oxites|1.000 || 118940295|Johannes, Malalas|1.000","Q1284149|John of Antioch|1.000|patriarch of Antioch, c. 428–441 || Q1698725|John of Antioch|1.000|late-antique historian",,,,
Joschija,ambiguous,Joschija,"118639978|Joschija, Juda, König|0.571",Q313228|Josiah|1.000|King of Judah || Q1704098|Joschija|1.000|,,,,
Joseph,ambiguous,Joseph,"133773256|Fichtl, Joseph|0.632 || 130591122|Glöggl, Joseph|0.632 || 133803570|Fichtl, Joseph|0.632 || 133773353|Fichtl, Joseph|0.632 || 1063746922|Capeller, Joseph|0.632","Q471788|Joseph|1.000|male given name || Q15297160|Joseph|1.000|family name || Q128267|Joseph|1.000|Christian saint; husband of Mary and father of Jesus || Q145746|Joseph|1.000|Biblical figure, son of Jacob and Rachel and governor of Egypt during the late Hyksos dynasty || Q666954|Josephine|0.800|female given name",,,,
Judas,ambiguous,Judas,"117219894|Judas, August|0.714 || 117219924|Judas, Auguste Célestin|0.714 || 118886673|Judas, Makkabäus|0.625 || 1019457643|Judas, Harald|0.588 || 118713337|Judas, Thaddäus|0.556","Q922088|Judas|1.000|male given name || Q37247828|Judas|1.000|family name || Q2464332|Jude|1.000|one of the brothers/cousins of Jesus according to the New Testament || Q131466|Epistle of Jude|1.000|epistle in the New Testament attributed to to Jude, brother of James || Q188766|Judas|1.000|2011 single by Lady Gaga",,,,
Kefas (s. auch Petrus),ambiguous,Kefas,"118593323|Petrus, Apostel, Heiliger|0.516 || 1320992447|Baiyi, Kefas Luka|0.400 || 1320687830|Baiyi, Kefas Luka|0.400 || 1344886310|Lamak, Kefas|0.333","Q131680663|Kefas Japhet|0.645|Nigerian politician || Q26472797|Kefasi Chitsala|0.588|Malawian long-distance runner || Q6383404|Kefashen|0.518|place in Syunik, Armenia || Q5063496|Cephas of Iconium|0.471|orthodox saint || Q136431352|Kefas Brand|0.467|Ugandan actor and model",,,,
Kyrill,ambiguous,Kyrill,"1089249527|Schaefer, Kyrill|0.571 || 173534457|Schwegler, Kyrill I. M.|0.545 || 114103372|Schwarz, Kyrill-Alexander|0.545 || 13769685X|Maljantovič, Kyrill G.|0.522 || 127904212|Philippoff, Kyrill|0.522",Q674360|Kirill|1.000|male given name (Кирилл) || Q4221339|Kirill|1.000|male given name || Q4221324|Kyrill|1.000|Eastern Orthodox archbishop || Q44187|Kirill I of Moscow|0.857|21st-century primate of the Russian Orthodox Church || Q51954439|Kyrillos|0.857|male given name (Κύριλλος),,,,
Kyros,ambiguous,Kyros,"1356303307|Kyros, Peter N.|0.625 || 1071831364|Kyru, Kyros A.|0.588 || 1362653268|Khadjavi, Kyros|0.526 || 1157330592|Massarrat-Mechedi, Kyros|0.500 || 124751415|Kyros I., Iran, König|0.500",Q19816333|Kyros|1.000|male given name || Q110742039|Kyros|1.000|family name || Q602803|Kyros|1.000|Wikimedia disambiguation page || Q25410181|Kyros|1.000|1986 video game || Q1286832|Kyros of Constantinople|1.000|Ecumenical Patriarch of Constantinople from 705 to 712,,,,
Laban,ambiguous,Laban,"1017911754|Laban, ʿAlī|0.769 || 116635134|Laban, Ferdinand|0.667 || 138995524|Laban, Simon|0.625 || 1051785707|Laban, Juana de|0.625 || 1266493808|Ochuka, Laban|0.588","Q13094561|Laban|1.000|village in Gresik Regency, East Java, Indonesia || Q840401|Laban|1.000|son of Bethuel, brother of Rebekah described in the Book of Genesis || Q12493302|Laban|1.000|village in Purworejo Regency, Central Java, Indonesia || Q12493301|Laban|1.000|village in Kendal Regency, Central Java, Indonesia || Q12493300|Laban|1.000|village in Sukoharjo Regency, Central Java, Indonesia",,,,
Livania (Witwe),ambiguous,Livania,,"Q60284236|Livania|0.700|Byzantine actor || Q21773506|Livaniana, Chania|0.621|human settlement in Greece || Q137954318|Livania M Lerin Kiste C M e I|0.524|school in Sarandi",,,,
Makarios von Laodikea,no_match,Makarios von Laodikea;Makarios from Laodikea;Makarios of Laodikea,,,,,,
Matthäus,ambiguous,Matthäus,"129102261|Weyse, Matthäus|0.783 || 121939510|Aquilius, Matthaeus|0.750 || 129002488|Pocarus, Matthäus|0.750 || 125000006|Hörnigk, Matthäus|0.720 || 1266468196|Dörffel, Matthäus|0.692",Q17483971|Matthäus|1.000|male given name || Q18092125|Matthäus|1.000|family name || Q43600|Matthew the Apostle|1.000|Christian evangelist and apostle || Q392302|Gospel of Matthew|1.000|book of the New Testament || Q21148298|Matthaus|0.941|given name,,,,
Melchisedek,ambiguous,Melchisedek,"118580515|Melchisedek|1.000 || 1159035806|Melchisedec Bischof v. Huşi|1.000 || 119748967|Lutz, Melchisedek|0.815 || 119553244|Melchisedek, Starez|0.759 || 1162142855|Chétima, Melchisedek|0.733",Q219395|Melchizedek|1.000|biblical person; King of Salem and priest of the Most High (Gen. 14) || Q4289712|Melchisedek|1.000| || Q12866762|Melchisedek|1.000| || Q58677357|Melchisedech|1.000|sculpture by Jacques Bergé || Q4289713|Melkhisedek|0.909|,,,,
Mose,ambiguous,Mose,"124456073|Mose, Ingo|0.800 || 1037506200|Mose, Hans|0.615 || 1044250801|Mose, Martin|0.533 || 1116968150|Mose, Deacon|0.533 || 115388591|Moese, Willy|0.533",Q90733312|Mose|1.000|male given name || Q37450047|Mose|1.000|family name || Q9077|Moses|1.000|Abrahamic prophet said to have led the Israelites out of Egypt || Q1681353|bog|1.000|wetland that accumulates peat due to incomplete decomposition of plant leftovers || Q13554012|Moses|0.889|male given name,,,,
